city,killed,category
Vermont,57,1
Hawaii,63,1
Rhode Island,63,1
North Dakota,69,1
Wyoming,73,1
New Hampshire,88,1
South Dakota,90,1
Maine,112,1
Montana,154,1
Idaho,166,1
Delaware,217,1
Nebraska,225,1
Alaska,267,1
Iowa,273,1
Utah,282,1
West Virginia,335,1
Connecticut,341,1
Oregon,446,1
District of Columbia,459,1
Minnesota,461,1
Massachusetts,472,1
New Mexico,495,1
Kansas,542,1
Arkansas,773,1
Colorado,796,1
Nevada,799,1
Washington,853,1
Wisconsin,862,1
Oklahoma,941,1
Kentucky,1066,1
Arizona,1094,1
New Jersey,1168,1
Mississippi,1176,1
Virginia,1459,1
Michigan,1588,2
Indiana,1608,2
South Carolina,1610,2
Maryland,1691,2
New York,1705,2
Tennessee,1824,2
Alabama,1880,2
Missouri,2136,2
Louisiana,2179,2
North Carolina,2225,2
Pennsylvania,2395,2
Georgia,2456,2
Ohio,2508,3
Illinois,3409,3
Florida,3909,3
Texas,5046,3
California,5562,3
